Position (m),Deflection (mm)
0.1545,-0.03469951186802226
0.1545,-0.03471446599770319
0.156,-0.03529398364755543
0.156,-0.03530878195213248
0.1575,-0.03589209645585768
0.1575,-0.03590673896964635
0.159,-0.03649381194442634
0.159,-0.03650829870174218
0.1605,-0.037099091773205875
0.1605,-0.03711342280836447
0.162,-0.03772207295790483
0.162,-0.03770789761058786
0.1635,-0.038320191133410786
0.1635,-0.03833421082720179
0.165,-0.03893593402696034
0.165,-0.03894979810154101
0.1665,-0.039555087984969074
0.1665,-0.03956879647465516
0.168,-0.040177614709616914
0.168,-0.04019116764872412
0.1695,-0.04080347591153087
0.1695,-0.040816873334375
0.171,-0.041445875250682
0.171,-0.04143263330978514
0.17250000000000001,-0.042065048631901296
0.17250000000000001,-0.04207813512516667
0.17400000000000002,-0.042713614693798044
0.17400000000000002,-0.04270068361384823
0.17550000000000002,-0.04333950000004263
0.17550000000000002,-0.043352275700992655
0.177,-0.04398145954334864
0.177,-0.043994079899614756
0.1785,-0.044626524005078265
0.1785,-0.04463898905097636
0.18,-0.0452869649248374
0.18,-0.04527465515499152
0.1815,-0.04593796929940648
0.1815,-0.04592581477129709
0.183,-0.046591963961340806
0.183,-0.046579964640652324
0.1845,-0.04724891070574641
0.1845,-0.04723706655816343
0.186,-0.04789708232738631
0.186,-0.04790877133617883
0.1875,-0.04855997376032694
0.1875,-0.048571507664643535
0.189,-0.04923708151159642
0.189,-0.049225702677441786
0.1905,-0.049905454705944395
0.1905,-0.04989423090763875
0.192,-0.05056552028827744
0.192,-0.05057658908504587
0.1935,-0.05125044649471169
0.1935,-0.0512395326651704
0.195,-0.05192698878920565
0.195,-0.051916229892583744
0.1965,-0.05260617783124483
0.1965,-0.05259557383323735
0.198,-0.053287975491999894
0.198,-0.0532775263583059
0.1995,-0.05397234365109549
0.1995,-0.05396204934741895
0.201,-0.054649104688660875
0.201,-0.05465924419660956
0.2025,-0.05534863902507223
0.2025,-0.055338654278569925
0.20400000000000001,-0.05603066002213645
0.20400000000000001,-0.05604049004146346
0.20550000000000002,-0.0567250838328
0.20550000000000002,-0.05673475915920977
0.20700000000000002,-0.057421887632443935
0.20700000000000002,-0.05743140830017839
0.2085,-0.05813039939466875
0.2085,-0.05812103335138785
0.21,-0.05883169438140043
0.21,-0.05882248292837601
0.2115,-0.05953525520749584
0.2115,-0.059526198310561065
0.213,-0.06023214145348139
0.213,-0.060241043828456776
0.2145,-0.0609402743210296
0.2145,-0.060949022208131975
0.216,-0.06165915231867395
0.216,-0.06165055888541053
0.2175,-0.06236295712708433
0.2175,-0.06237139614048119
0.219,-0.06308571566212251
0.219,-0.06307743103469168
0.2205,-0.06380207288023822
0.2205,-0.0637939426049555
0.222,-0.06452042979941242
0.222,-0.06451245384255323
0.2235,-0.06524074843200886
0.2235,-0.0652329267599526
0.225,-0.0659553233772009
0.225,-0.06596299079796247
0.2265,-0.06667960572165804
0.2265,-0.06668711892451525
0.228,-0.06741309484588513
0.228,-0.06740573582765996
0.2295,-0.06813367573609676
0.2295,-0.06814088060285287
0.231,-0.06887043824225067
0.231,-0.0688633874938889
0.2325,-0.06960172981633364
0.2325,-0.06959483315333985
0.234,-0.07033471738201344
0.234,-0.070327974771344
0.23550000000000001,-0.07106277440842197
0.23550000000000001,-0.07106936299993001
0.23700000000000002,-0.07179919412755889
0.23700000000000002,-0.07180562873333879
0.23850000000000002,-0.07253719599281316
0.23850000000000002,-0.07254347664678606
0.24,-0.073282868804551
0.24,-0.07327674206767038
0.2415,-0.07402376726883227
0.2415,-0.07401779441311374
0.243,-0.0747603150853905
0.243,-0.07476613409766622
0.2445,-0.07550993134257389
0.2445,-0.07550426613346219
0.246,-0.0762551210459537
0.246,-0.07624960959614507
0.2475,-0.0770016652382626
0.2475,-0.07699630749896898
0.249,-0.07774432185082239
0.249,-0.07774952593506909
0.2505,-0.07849866513411878
0.2505,-0.07849361464050436
0.252,-0.07924414783337866
0.252,-0.07924904481263012
0.2535,-0.07999588336842703
0.2535,-0.08000062692514441
0.255,-0.08074878315614333
0.255,-0.08075337340240382
0.2565,-0.08150724615191739
0.2565,-0.08150280907789559
0.258,-0.08226220706113803
0.258,-0.08225792298763522
0.2595,-0.0830182180045062
0.2595,-0.08301408671716826
0.261,-0.08377126208663485
0.261,-0.08377524085605767
0.2625,-0.08453323750986581
0.2625,-0.08452941092241709
0.264,-0.08528849508543293
0.264,-0.08529216991132851
0.2655,-0.08605200010327081
0.2655,-0.0860484765137338
0.267,-0.08680931728456417
0.267,-0.08681269029206717
0.2685,-0.0875742029405969
0.2685,-0.08757097970265848
0.27,-0.08833342642363354
0.27,-0.08833650089690845
0.2715,-0.08909662062408093
0.2715,-0.08909954757018836
0.273,-0.08986052623355419
0.273,-0.08986330716917174
0.2745,-0.0906277450228636
0.2745,-0.09062510824844609
0.276,-0.09139033315420518
0.276,-0.09139282800978535
0.2775,-0.09215616949122515
0.2775,-0.09215852513068014
0.279,-0.09292258861217648
0.279,-0.09292480827178418
0.2805,-0.09369165322323914
0.2805,-0.09368956569643253
0.28200000000000003,-0.09445708111367947
0.28200000000000003,-0.0944590410429612
0.28350000000000003,-0.09522512226918235
0.28350000000000003,-0.09522695989547804
0.28500000000000003,-0.09599368612717643
0.28500000000000003,-0.09599540755712177
0.28650000000000003,-0.0967627827146581
0.28650000000000003,-0.0967643948807581
0.28800000000000003,-0.09753244009120587
0.28800000000000003,-0.0975339506891749
0.2895,-0.09830271160818281
0.2895,-0.09830412888604723
0.291,-0.09907368693667688
0.291,-0.09907501920769544
0.2925,-0.09984676432934984
0.2925,-0.09984550978415906
0.294,-0.1006184083095321
0.294,-0.10061958946782561
0.2955,-0.10139275399003776
0.2955,-0.10139385743706426
0.297,-0.10216917865836515
0.297,-0.10217019984672074
0.2985,-0.10294887337723332
0.2985,-0.10294978491068878
0.3,-0.10373546801935722
0.3,-0.10373353792269409
