Position (m),Deflection (mm)
1.1500000000000001,-22.549612943086544
1.1500000000000001,-22.549822433963943
1.16,-22.91026465053938
1.16,-22.91047287180126
1.17,-23.273401216765482
1.17,-23.2731942636275
1.18,-23.638593595365464
1.18,-23.638387908859734
1.19,-24.006036150425146
1.19,-24.00583172906005
1.2,-24.375511883376326
1.2,-24.37571504109245
1.21,-24.747414547270086
1.21,-24.747616442828853
1.22,-25.121525912526593
1.22,-25.12172654741967
1.23,-25.49783218724468
1.23,-25.49803156296369
1.24,-25.876319595848145
1.24,-25.87651771388475
1.25,-26.256974379073228
1.25,-26.257171240919043
1.26,-26.63978279398127
1.26,-26.63997840112795
1.27,-27.02492546788533
1.27,-27.02473111394615
1.28,-27.41180562866647
1.28,-27.411998730889803
1.29,-27.80118449615309
1.29,-27.800992644154
1.3,-28.192278482744875
1.3,-28.192469086011428
1.31,-28.585649483088247
1.31,-28.585838839113823
1.32,-28.981280110434458
1.32,-28.981092000158156
1.33,-29.378779271259667
1.33,-29.378592405241044
1.34,-29.778322709201838
1.34,-29.778137085949194
1.35,-30.17989682818465
1.35,-30.17971244620641
1.36,-30.583488048457568
1.36,-30.58330490626205
1.37,-30.98908280658227
1.37,-30.988900902677855
1.3800000000000001,-31.39666755544551
1.3800000000000001,-31.39648688834054
1.3900000000000001,-31.806228764249564
1.3900000000000001,-31.806049332452442
1.4000000000000001,-32.217752918515394
1.4000000000000001,-32.21757472053447
1.41,-32.63104955442554
1.41,-32.63122652008185
1.42,-33.0464603522842
1.42,-33.04663608710757
1.43,-33.46379364858919
1.43,-33.46396815407124
1.44,-33.88320927176503
1.44,-33.883035994132676
1.45,-34.304346007307
1.45,-34.3041739560327
1.46,-34.72719411771778
1.46,-34.72736494412567
1.47,-35.15225268197779
1.47,-35.15208307894467
1.48,-35.57899583693378
1.48,-35.578827455783845
1.49,-36.00758104138205
1.49,-36.00741388062364
1.5,-36.43799494402775
1.5,-36.437829002169224
1.51,-36.87022420990227
1.51,-36.870059485451975
1.52,-37.30425552034753
1.52,-37.30409201181386
1.53,-37.74007557303179
1.53,-37.73991327892308
1.54,-38.17751000075809
1.54,-38.17767108193343
1.55,-38.617028777358975
1.55,-38.61686890762531
1.56,-39.05797674614446
1.56,-39.05813540592801
1.57,-39.50082027925411
1.57,-39.50097773057921
1.58,-39.94554253056764
1.58,-39.94538628620935
1.59,-40.39166156259147
1.59,-40.39181660147461
1.6,-40.839632920292
1.6,-40.83978675519158
1.61,-41.289439819937385
1.61,-41.28928718752965
1.62,-41.74076264023948
1.62,-41.74061120883203
1.6300000000000001,-42.193742076955246
1.6300000000000001,-42.193591845056396
1.6400000000000001,-42.64821597337298
1.6400000000000001,-42.64836500725482
1.6500000000000001,-43.10461832462662
1.6500000000000001,-43.10447048727017
1.6600000000000001,-43.562342296551904
1.6600000000000001,-43.56248893887467
1.67,-44.02196377613061
1.67,-44.02181832734992
1.68,-44.483029778840965
1.68,-44.482885522110756
1.69,-44.94567390576516
1.69,-44.94553083959381
1.7,-45.409741254885375
1.7,-45.40988313198955
1.71,-45.87564444891122
1.71,-45.875503759382575
1.72,-46.342944864255706
1.72,-46.342805360810964
1.73,-46.811633083209365
1.73,-46.81177140206181
1.74,-47.281973966934814
1.74,-47.28211110268663
1.75,-47.7539510228028
1.75,-47.75381506865998
1.76,-48.22727823541204
1.76,-48.22714346138655
1.77,-48.702079829823596
1.77,-48.70194623442383
1.78,-49.1782104934101
1.78,-49.178342911675834
1.79,-49.65605460291533
1.79,-49.65592336029198
1.8,-50.13520204181909
1.8,-50.1350719733465
1.81,-50.61564348716277
1.81,-50.61577238297622
1.82,-51.09775279729481
1.82,-51.09762507264886
1.83,-51.58113047199762
1.83,-51.58100391702751
1.84,-52.06589261063723
1.84,-52.065767223851275
1.85,-52.55202643307356
1.85,-52.55190221298017
1.86,-53.039396120603826
1.86,-53.03951917549635
1.87,-53.528236199219
1.87,-53.52835809040228
1.8800000000000001,-54.018409717654215
1.8800000000000001,-54.018530446619934
1.8900000000000001,-54.510023529288894
1.8900000000000001,-54.50990396104916
1.9000000000000001,-55.00282463986862
1.9000000000000001,-55.00270623086323
1.9100000000000001,-55.49692109613252
1.9100000000000001,-55.49680384486977
1.92,-55.992300232183624
1.92,-55.99218413717193
1.93,-56.4888344581868
1.93,-56.48894939843911
1.94,-56.986742174641904
1.94,-56.98685596162647
1.95,-57.485894669597755
1.95,-57.486007304806186
1.96,-57.98639082734427
1.96,-57.986279342420296
1.97,-58.48799394493865
1.97,-58.487883608807515
1.98,-58.99080408959831
1.98,-58.99069490076838
1.99,-59.494700666630706
1.99,-59.49480870965107
2.0,-59.99988837103665
2.0,-59.999995269739095
2.0100000000000002,-60.50624549496237
2.0100000000000002,-60.50635125083853
2.02,-61.01375953569351
2.02,-61.01386415023487
2.0300000000000002,-61.52241800683161
2.0300000000000002,-61.52252148152972
2.04,-62.03231077464319
2.04,-62.03220843829676
2.05,-62.54321957581174
2.05,-62.54311837632544
2.06,-63.05513538347596
2.06,-63.05523544759366
2.07,-63.56834596886102
2.07,-63.56824703862035
2.08,-64.08244093695143
2.08,-64.08253873480656
2.09,-64.59770468997768
2.09,-64.59780135693882
2.1,-65.11402592552577
2.1,-65.11412146308449
2.11,-65.63148669738757
2.11,-65.63139228773981
2.12,-66.14979143708119
2.12,-66.14988472030956
2.13,-66.66930320862969
2.13,-66.66921105032915
2.14,-67.1897298554463
2.14,-67.1896388205821
2.15,-67.71106245725346
2.15,-67.71115237017285
2.16,-68.23346968607592
2.16,-68.23355847854205
2.17,-68.75693592260376
2.17,-68.75684824909939
2.18,-69.2811859046911
2.18,-69.28127246072523
2.19,-69.80655586758986
2.19,-69.80647042753446
2.2,-70.33277393420067
2.2,-70.33268960863246
2.21,-70.85991446787718
2.21,-70.85983125530464
2.22,-71.38796529225735
2.22,-71.38788319118896
2.23,-71.91691424729433
2.23,-71.9168332562386
2.24,-72.44674918926084
2.24,-72.4466693067262
2.25,-72.97737921524144
2.25,-72.97745799074643
2.2600000000000002,-73.508950870691
2.2600000000000002,-73.50902854065792
2.27,-74.0414487442192
2.27,-74.0413721782989
2.2800000000000002,-74.57463105960704
2.2800000000000002,-74.57470652297238
2.29,-75.1087898147765
2.29,-75.10871545247473
2.3000000000000003,-75.64368657380945
2.3000000000000003,-75.64361331107975
2.31,-76.17938477056322
2.31,-76.17931260591403
2.32,-76.71587239184787
2.32,-76.71580132378766
2.33,-77.25313744079534
2.33,-77.2530674678326
2.34,-77.79109905749411
2.34,-77.79116793685087
2.35,-78.3299519157793
2.35,-78.32988412853692
2.36,-78.86941073304132
2.36,-78.8694774296608
2.37,-79.40966693940723
2.37,-79.40973254689534
2.38,-79.95064083235135
2.38,-79.95070535219962
2.39,-80.49238394660827
2.39,-80.49232051290832
2.4,-81.03475644747206
2.4,-81.03469409842896
2.41,-81.57781098846054
2.41,-81.57774972258274
2.42,-82.12147553535542
2.42,-82.12153571955942
2.43,-82.66585970305208
2.43,-82.66591880707382
2.44,-83.21094843362312
2.44,-83.21089040829216
2.45,-83.7565558500155
2.45,-83.75661279814724
2.46,-84.3029001159031
2.46,-84.3028442434791
2.47,-84.84979861846476
2.47,-84.84974382025692
2.48,-85.3972965537217
2.48,-85.39724282823866
2.49,-85.94538218588336
2.49,-85.94532953163349
2.5,-86.49399221096618
2.5,-86.49404379547434
2.5100000000000002,-87.04321916308031
2.5100000000000002,-87.0432696793383
2.52,-87.59304815063525
2.52,-87.59299870113598
2.5300000000000002,-88.14331915460997
2.5300000000000002,-88.1433675388421
2.54,-88.69421618975555
2.54,-88.69416886929909
2.5500000000000003,-89.2455824654881
2.5500000000000003,-89.24553620731582
2.56,-89.79745474446773
2.56,-89.79740954708814
2.57,-90.34977728336082
2.57,-90.34982142143929
2.58,-90.9026278272012
2.58,-90.90267090747002
2.59,-91.4559496059901
2.59,-91.4559916299409
2.6,-92.00977203255316
2.6,-92.00973106342892
2.61,-92.56400057532223
2.61,-92.56396065953314
2.62,-93.1186268706379
2.62,-93.11866573458346
2.63,-93.67375600298871
2.63,-93.67371818939516
2.64,-94.22925988950763
2.64,-94.22922312477465
2.65,-94.78516591942568
2.65,-94.78513020206181
2.66,-95.34142796285943
2.66,-95.34146263434577
2.67,-95.8981385921891
2.67,-95.8981049650888
2.68,-96.45514978298759
2.68,-96.45518236719337
2.69,-97.01255100711063
2.69,-97.01258254991335
2.7,-97.57029724433299
2.7,-97.5703277472242
2.71,-98.12840658231484
2.71,-98.12837711784367
2.72,-98.6868076946938
2.72,-98.68677926715118
2.73,-99.24551974018397
2.73,-99.24549234807841
2.74,-99.80450503276677
2.74,-99.80453139092675
2.75,-100.36383133538146
2.75,-100.3638060096755
2.7600000000000002,-100.92338398358243
2.7600000000000002,-100.9234082783259
2.77,-101.48325094085206
2.77,-101.48322767557968
2.7800000000000002,-102.04332582307913
2.7800000000000002,-102.04334806037195
2.79,-102.60368839061279
2.79,-102.60366717980806
2.8000000000000003,-103.16424051581188
2.8000000000000003,-103.1642607016201
2.81,-103.72503461745241
2.81,-103.7250537797555
2.82,-104.28603828740619
2.82,-104.28605642769574
2.83,-104.84725746444228
2.83,-104.84724034467477
2.84,-105.40862962457084
2.84,-105.40864572530779
2.85,-105.97019497872756
2.85,-105.97021006192543
2.86,-106.53192527509081
2.86,-106.53193934224106
2.87,-107.09382245052188
2.87,-107.09380939792767
2.88,-107.65583624782047
2.88,-107.65584828735018
2.89,-108.21799474167194
2.89,-108.218005769629
2.9,-108.78027381271338
2.9,-108.78028383058952
2.91,-109.34266241054962
2.91,-109.34267141983484
2.92,-109.90514950121415
2.92,-109.90515750338487
2.93,-110.46772406694137
2.93,-110.46773106341875
2.94,-111.03037510391852
2.94,-111.03038109603021
2.95,-111.59309660195875
2.95,-111.59309161285306
2.96,-112.15586257320523
2.96,-112.15586656360911
2.97,-112.71867693935815
2.97,-112.71867994219967
2.98,-113.28152384864049
2.98,-113.28152595496304
2.99,-113.84439582118547
2.99,-113.84439693627414
3.0,-114.40730158253031
3.0,-114.40730064367624
