Position (m),Deflection (mm)
0.0,0.0
0.0,0.0
0.015,-0.006976123649542134
0.015,-0.006573114005938694
0.03,-0.019842333784236096
0.03,-0.019502730586077766
0.045,-0.04133398950201585
0.045,-0.04098327697859288
0.06,-0.0714369977065075
0.06,-0.07109013543538069
0.075,-0.11008746696176862
0.075,-0.10974247240563455
0.09,-0.1572292609956473
0.09,-0.15688640077051266
0.105,-0.21246978265534966
0.105,-0.21281056659235273
0.12,-0.2764415033658089
0.12,-0.27678020770705486
0.135,-0.3487504106148109
0.135,-0.34908703931643176
0.15,-0.4293454098181684
0.15,-0.42967996594632846
0.16499999999999998,-0.5185079701931745
0.16499999999999998,-0.5181754833480695
0.18,-0.6155201156684159
0.18,-0.615189694843629
0.195,-0.7206655465065833
0.195,-0.720337188437308
0.21,-0.8335671886121507
0.21,-0.8338934871899405
0.22499999999999998,-0.9548290001936942
0.22499999999999998,-0.9551532425441401
0.24,-1.0840720083548732
0.24,-1.084394197742113
0.255,-1.2212456786167936
0.255,-1.2215658183049671
0.27,-1.3666176501018383
0.27,-1.3662995568485912
0.285,-1.5194993193498698
0.285,-1.519183269267409
0.3,-1.6798465224386188
0.3,-1.6801605326144324
0.315,-1.8482391032754764
0.315,-1.8485510768087814
0.32999999999999996,-2.024620819194319
0.32999999999999996,-2.0243108790393856
0.345,-2.2080117973398017
0.345,-2.208319707380501
0.36,-2.3995977693244144
0.36,-2.3992918861338106
0.375,-2.598101253726688
0.375,-2.598405113331334
0.39,-2.804691928054991
0.39,-2.8043900887721653
0.40499999999999997,-3.018108660271073
0.40499999999999997,-3.018408482496218
0.42,-3.2395051260046737
0.42,-3.2392073175730673
0.435,-3.4679322882777393
0.435,-3.467636490375533
0.44999999999999996,-3.703640479361078
0.44999999999999996,-3.7033466887241335
0.46499999999999997,-3.9462885030122603
0.46499999999999997,-3.9465802896480886
0.48,-4.19670238988042
0.48,-4.19641260398157
0.495,-4.453957531148504
0.495,-4.4536697427224965
0.51,-4.718010750672161
0.51,-4.718296544889459
0.525,-4.989386539617548
0.525,-4.98967034289027
0.54,-5.268029917283138
0.54,-5.267748101690865
0.5549999999999999,-5.553046509373851
0.5549999999999999,-5.553326340549813
0.57,-5.845510765519631
0.57,-5.845232915495845
0.585,-6.144258553233447
0.585,-6.144534425369184
0.6,-6.4500747361132
0.6,-6.450348633625017
0.615,-6.762632858006303
0.615,-6.762904784158324
