"x/h=2: Velocity[i] (m/s)","x/h=2: Direction [0,1,0] (m)","xh2: U","xh2: %y"
-1.86780280946462E-5,0.0,-0.115748,0.001574
-0.06442174801354639,8.0E-4,-0.117721,0.003864
-0.0703394974839213,0.0016,-0.107861,0.006154
-0.07228183638274427,0.0024,-0.097867,0.008443
-0.07306797782465742,0.0032,-0.088201,0.010733
-0.07327371739352978,0.004,-0.076701,0.013023
-0.07307990631518113,0.0048,-0.06294,0.015312
-0.07259040016385881,0.005600000000000001,-0.047711,0.017602
-0.07184839166542377,0.0064,-0.03086,0.019892
-0.07089195051133311,0.0072,-0.011966,0.022181
-0.06975869227091129,0.008,0.008515,0.024471
-0.06843728123006874,0.0088,0.031838,0.026761
-0.06697328021553375,0.0096,0.05823,0.029051
-0.06537157664977111,0.010400000000000001,0.087427,0.03134
-0.06363073238984304,0.011200000000000002,0.119735,0.03363
-0.06175972898916492,0.012,0.154063,0.03592
-0.059771312907972454,0.0128,0.19046,0.038209
-0.05767035104591322,0.013600000000000001,0.22837,0.040499
-0.05545100454473795,0.0144,0.265019,0.042789
-0.05311476442885418,0.0152,0.300689,0.045078
-0.050672095666202205,0.016,0.324177,0.046223
-0.048128845375712714,0.0168,0.356495,0.048513
-0.045492348481557886,0.0176,0.386076,0.050805
-0.042728134208943766,0.0184,0.410102,0.05309
-0.03984514229353274,0.0192,0.429957,0.05538
-0.03687657066495191,0.02,0.44609,0.05767
-0.0337774312607197,0.020800000000000003,0.457996,0.05996
-0.0305355212608226,0.0216,0.467164,0.06225
-0.02722286823541724,0.022400000000000003,0.47376,0.06454
-0.023687421944614744,0.0232,0.47825,0.06683
-0.020056042282361436,0.024,0.481089,0.06912
-0.016239788395178423,0.0248,0.483339,0.07141
-0.012227704566725006,0.0256,0.485399,0.0737
-0.008057141472958801,0.026400000000000003,0.486967,0.07599
-0.0035767575275304684,0.027200000000000002,0.488074,0.07828
0.0010577019705356589,0.027999999999999997,0.489166,0.08057
0.006123996532519871,0.0288,0.489935,0.08286
0.011386192782685035,0.0296,0.491165,0.08515
0.017180951371260245,0.0304,0.492174,0.08744
0.02330560863885236,0.031200000000000002,0.493194,0.08973
0.029975109673939727,0.032,0.49407,0.092015
0.03729471121933249,0.032799999999999996,0.495039,0.094305
0.044950102482615203,0.0336,0.496223,0.096595
0.05390004160988643,0.0344,0.497796,0.098885
0.06283829957701245,0.0352,0.499221,0.10118
0.07366056190976006,0.036000000000000004,0.500718,0.10347
0.084744919673861,0.0368,0.50186,0.10576
0.09702455638974508,0.0376,0.503465,0.10805
0.11076650312121313,0.0384,0.504802,0.11033
0.12450716190698179,0.0392,0.50635,0.11262
0.14113604277000957,0.04,0.507729,0.11491
0.15796104425908752,0.0408,0.508415,0.1172
0.17588872526150345,0.041600000000000005,0.509194,0.11949
0.19595577474360287,0.0424,0.509825,0.12178
0.21603921910256668,0.0432,0.510465,0.12408
0.23812393994136277,0.044000000000000004,0.510793,0.12636
0.2612646922047288,0.044800000000000006,0.510599,0.12865
0.28442965248671653,0.045599999999999995,0.509927,0.13094
0.3094639389301889,0.0464,0.50881,0.13323
0.33474349870949305,0.0472,0.506729,0.13553
0.3598828795802995,0.048,0.503403,0.13781
0.38203146405966454,0.0488,0.498319,0.1401
0.4041928787490361,0.0496,0.491349,0.14239
0.4251323582014203,0.0504,0.480084,0.14468
0.4383046936750301,0.0512,0.461588,0.14697
0.45147695742618044,0.052000000000000005,null,null
0.463470003614133,0.05280000000000001,null,null
0.468891546743611,0.0536,null,null
0.4743133923433971,0.054400000000000004,null,null
0.47938863118720626,0.0552,null,null
0.4814349381307197,0.055999999999999994,null,null
0.48348137921176304,0.056799999999999996,null,null
0.48552720200871746,0.0576,null,null
0.48655142575578575,0.0584,null,null
0.4875679960199182,0.0592,null,null
0.4885846238988564,0.06,null,null
0.48936306468620255,0.0608,null,null
0.49009278041548143,0.0616,null,null
0.49082283216541484,0.062400000000000004,null,null
0.49149308667342667,0.0632,null,null
0.4921270359394936,0.064,null,null
0.4927615103433174,0.06480000000000001,null,null
0.49337622678611087,0.06559999999999999,null,null
0.4939573847067541,0.0664,null,null
0.49453914744128846,0.0672,null,null
0.49511614387693875,0.068,null,null
0.49564169447283113,0.0688,null,null
0.4961678429449344,0.0696,null,null
0.4966945901297747,0.0704,null,null
0.49716238407662405,0.0712,null,null
