"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.028616389948434847,0.14240997021550827,0.81746665935306417,0.44887500000000002,0.15175,0
0.028109073243025733,0.13988498743712241,0.78874592328315307,0.44662500000000005,0.15175,0
0.028222420038393918,0.14044843392877324,0.79511846987317303,0.44437500000000002,0.15175,0
0.027820875125541506,0.13844925545578238,0.77265994804966143,0.44212499999999999,0.15175,0
0.027814220075084745,0.13841508234436931,0.77229052909942508,0.43987500000000002,0.15175,0
0.027537734839939831,0.13703824548930027,0.75701738532643004,0.43762500000000004,0.15175,0
0.027455324998939476,0.13662774820221157,0.75249462083055685,0.43537500000000001,0.15175,0
0.0272444211370685,0.1355786467048524,0.74098143782644532,0.43312499999999998,0.15175,0
0.027122117137712599,0.13497113769458419,0.73434559673720456,0.43087500000000001,0.15175,0
0.026943910470424857,0.13408565179647045,0.72472999800881688,0.42862500000000003,0.15175,0
0.026802062126424192,0.13338070617383443,0.7171215014759752,0.42637500000000006,0.15175,0
0.026639119320695813,0.13256981086939842,0.70843104865720596,0.42412500000000003,0.15175,0
0.026488765721327433,0.13182018922821512,0.70045900729680843,0.421875,0.15175,0
0.026331984800738457,0.13103701065026041,0.69219420133464971,0.41962500000000003,0.15175,0
0.026179311335087409,0.13027268368090195,0.68419305209806003,0.41737500000000005,0.15175,0
0.026024914819393615,0.12949824839044016,0.67614890467129607,0.41512500000000002,0.15175,0
0.025871992699242782,0.12872980453391353,0.66822843437286383,0.41287499999999999,0.15175,0
0.025718708636316572,0.12795859270572835,0.66033601941789,0.41062500000000002,0.15175,0
0.025566185438022578,0.12719050950987143,0.65252928898603435,0.40837500000000004,0.15175,0
0.025413926895296986,0.12642324105599492,0.64478237886133727,0.40612500000000001,0.15175,0
0.025262226827206104,0.12565838094521448,0.63710986194761665,0.40387499999999998,0.15175,0
0.025111155535291429,0.12489639501555887,0.62951475507741628,0.40162500000000001,0.15175,0
0.02496077009148993,0.12413762658442634,0.62199933358692139,0.39937500000000004,0.15175,0
0.024811327964859128,0.12338336864463942,0.6145757348854568,0.39712500000000001,0.15175,0
0.024662646644618938,0.12263272146150125,0.60723412806134081,0.39487499999999998,0.15175,0
0.024515179416470464,0.12188798754540621,0.59999601894272536,0.392625,0.15175,0
0.02436873530659318,0.12114832049851852,0.59285104950754897,0.39037500000000003,0.15175,0
0.024223726509313523,0.12041590651521271,0.58581825282035638,0.388125,0.15175,0
0.024079927692099417,0.11968970575707708,0.57888555294273025,0.38587499999999997,0.15175,0
0.023937878848327199,0.11897242294120233,0.57207771484953573,0.38362499999999999,0.15175,0
0.023797244389640784,0.11826260143248843,0.56537730806967879,0.38137500000000002,0.15175,0
0.023658647078206595,0.11756369835511493,0.55881255664807561,0.37912499999999999,0.15175,0
0.023521699326255613,0.11687398293024821,0.55236356980846202,0.37687499999999996,0.15175,0
0.023386680930962161,0.11619502477240413,0.54604205896014335,0.37462499999999999,0.15175,0
0.023253758768323488,0.11552800381129459,0.53985421437804415,0.37237500000000001,0.15175,0
0.02312290564307207,0.11487293787116012,0.5337971131621877,0.37012500000000004,0.15175,0
0.022994316947420802,0.11423081423904743,0.52787810519466571,0.36787500000000006,0.15175,0
0.022867991350976571,0.11360167363060186,0.52209538810971168,0.36562500000000003,0.15175,0
0.022744052348597901,0.11298596205645718,0.51645285891099058,0.363375,0.15175,0
0.022622536701720136,0.11238381532031437,0.51095040778728484,0.36112500000000003,0.15175,0
0.022503525485768748,0.11179550952509798,0.50558991596813707,0.35887500000000006,0.15175,0
0.022387058031615264,0.11122092366274187,0.50037135733980787,0.35662500000000003,0.15175,0
0.0222731992188532,0.11066024018278822,0.49529584439206442,0.354375,0.15175,0
0.022161976052266885,0.11011324298920813,0.49036279508294217,0.35212500000000002,0.15175,0
0.022053427074195636,0.10957992521321389,0.48557215322532826,0.34987500000000005,0.15175,0
0.021947585784691501,0.10906018507406387,0.48092365625279432,0.34762500000000002,0.15175,0
0.021844529612535996,0.10855405041363529,0.47641896787725241,0.34537499999999999,0.15175,0
0.021744227322301003,0.10806136256151225,0.47205500264698813,0.34312500000000001,0.15175,0
0.02164672600966349,0.10758240035201938,0.46783214414863072,0.34087500000000004,0.15175,0
0.021551985015025095,0.10711700954608228,0.46374701000018448,0.33862500000000001,0.15175,0
0.021460067208691931,0.10666549611401328,0.45980072731065053,0.33637499999999998,0.15175,0
0.021370916451824679,0.10622758535913485,0.45598934903569438,0.33412500000000001,0.15175,0
0.021284620460183042,0.10580371730437578,0.45231512592660983,0.33187500000000003,0.15175,0
0.02120104717283933,0.10539323813689654,0.44877099429158973,0.329625,0.15175,0
0.021120353352406047,0.10499693044353234,0.44536220168053159,0.32737499999999997,0.15175,0
0.021042303579752362,0.10461362698376674,0.44207746867719416,0.325125,0.15175,0
0.020967184167825826,0.1042447540972605,0.43892754387495109,0.32287500000000002,0.15175,0
0.020894578199894178,0.10388824187092385,0.4358937199516944,0.32062499999999999,0.15175,0
0.020824999223810849,0.10354664643846992,0.43299625346977372,0.31837499999999996,0.15175,0
0.02075771897948811,0.10321634946516045,0.43020370614112108,0.31612499999999999,0.15175,0
0.020693651526565521,0.10290189860031634,0.42755291092732223,0.31387500000000002,0.15175,0
0.020631534154178583,0.10259701743763049,0.42499062860133308,0.31162500000000004,0.15175,0
0.020572973808158306,0.10230969936565391,0.42258212716949484,0.30937500000000007,0.15175,0
0.02051579727868523,0.10202913943433817,0.42023715148866592,0.30712500000000004,0.15175,0
