"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.023887824759515529,0.11887817184624008,0.57021499740868542,0.44879890475784712,0.050000734328047067,0
0.028329965552884192,0.14097952700952687,0.80192130922128824,0.44639671421521432,0.050001983196006031,0
0.028881183679476449,0.14367709298807035,0.83341252820417244,0.44399488774769502,0.049972928046653896,0
0.034999635269425622,0.17382859675004869,1.2237561756664304,0.44159653678709965,0.049852050361840539,0
0.041494843074847576,0.2049072239563324,1.719965018039189,0.43921102256775313,0.049583162611899115,0
0.047805509345208691,0.23273537730840535,2.2827504555982605,0.43685742566943631,0.049116159114287926,0
0.051475451746011466,0.24401726048405742,2.646760636191992,0.43456359146796558,0.048414506521562012,0
0.052268989459085202,0.23881586289207432,2.7289733997812422,0.43235119836970781,0.047485564521458037,0
0.051136799720285793,0.22449378792758692,2.6120497426167937,0.43022522406707564,0.046370975217393431,0
0.049799247639172387,0.21028895081797158,2.4772107815417082,0.4281816659491523,0.045110580418518689,0
0.046663447453241844,0.19054581689501271,2.1750723185121639,0.42620847884662311,0.043741577206948962,0
0.044893361484767177,0.17874948383073491,2.0131638402147307,0.42428866161416356,0.042298191837341376,0
0.042270295220393668,0.16521048223890611,1.7848019461592302,0.42240918738194666,0.040802430005370649,0
0.040117572359404267,0.15500244287166864,1.607625014244231,0.42055670329596107,0.039273182731153392,0
0.038167468531671848,0.14669877886707058,1.4551324734783193,0.41871945603879823,0.037725615701917403,0
0.036444076645300499,0.13968862585325578,1.3267010590570443,0.41689285585035329,0.03616548908309318,0
0.034361519395343015,0.13182212498621371,1.1794104666420886,0.41506996213482394,0.034601015981363656,0
0.032680512383780516,0.12624769784479961,1.0668365319210666,0.41323894249530296,0.033046096655567667,0
0.031353466427359436,0.12225661290325698,0.98196463993525329,0.4113947179480647,0.031506856615554843,0
0.030148821826202363,0.11853068953657359,0.90796477801532671,0.40953890105788759,0.029981604227014281,0
0.028967347947800808,0.11472800043934252,0.83820159165810593,0.40767272760774498,0.028469039216152271,0
0.027885239356778602,0.11118207035451204,0.7767512884309602,0.40579717478992494,0.026968114564565507,0
0.026832563709022549,0.10758478410406992,0.71921623330086237,0.40391409013101387,0.025476643320499551,0
0.025803014252510508,0.10391065694063023,0.66508482374560196,0.40202567978940618,0.023991915774610913,0
0.024723322188665731,0.099903207557059712,0.61059111544763156,0.40013371617621796,0.022511716646595778,0
0.02360774348167299,0.095699302698510472,0.55673104946952856,0.39823850810833805,0.021035674976673576,0
0.022448922083967687,0.091341937140601237,0.5034160265064711,0.39633873127427027,0.019565522336658717,0
0.021337718450302232,0.087231471979477074,0.45481077754782162,0.3944320922700334,0.018104288788534751,0
0.020267429541912123,0.083277988817891807,0.41032830460302666,0.39251758885476878,0.016653372224553157,0
0.01914311679744422,0.07902251746887437,0.36606539393317833,0.39059596072252567,0.015211902428295199,0
0.017901356280567375,0.074349846974192987,0.32011314970121107,0.38866370657417731,0.013784749571515875,0
0.016819130965753114,0.070519125516131084,0.28257698646941043,0.38671311570381633,0.012382837996965108,0
0.015721689719851877,0.066671754796929203,0.24690470233293482,0.38473935307358664,0.011013776408838917,0
0.014681568791096373,0.063048759437688229,0.21531587950556882,0.38273894847694689,0.0096840356178473329,0
0.013682133499469952,0.059639436091937163,0.18699921891225893,0.38070558557187667,0.008405460011706941,0
0.012831826618889368,0.056869881705655136,0.16447934339694556,0.37863407751408823,0.0071897916955354496,0
0.012057662817188054,0.054333081694534734,0.14523247865592731,0.37652309329822331,0.0060441291721541109,0
0.01134488130513764,0.051952860502861485,0.12857021836990132,0.37437233833077205,0.0049751390865066594,0
0.010697984988845638,0.049763163494689913,0.11432671862014683,0.37218161784654702,0.0039908232064997211,0
0.010122120948060318,0.047788118869161608,0.1023505599771056,0.3699515861432271,0.0030993433771908628,0
0.0096246926771072095,0.04606264012503803,0.09253891244445403,0.36768400249100208,0.002308453228315101,0
0.0091955664501774149,0.044541375264234316,0.084471653192277479,0.36538173884540615,0.0016252978145285487,0
0.0088533957108462985,0.043316935971920857,0.078302733794474749,0.36304889651901928,0.0010553848912881125,0
0.0085339977153403319,0.042081469673300079,0.072755411897435507,0.36069046750391376,0.00060311613794652237,0
0.0083259391466380915,0.041284575070578249,0.06925143686713249,0.35831135898905558,0.0002779980257181726,0
0.0083539407763670442,0.041544328780105097,0.06971832333656526,0.35591777059552332,8.6267454303507498e-05,0
0.0086507011502240435,0.043031177404869482,0.074759876660977498,0.35351732467944375,8.8338124264669481e-06,0
0.0090338134623420881,0.044903749104471619,0.081528758953719346,0.35111523464075167,-2.2161314952249688e-06,0
0.0091994394514466234,0.045717877737100808,0.084546473714596601,0.34871305014161252,7.5777214004835237e-07,0
0.0091935450745590265,0.045694195188649325,0.084438726410625234,0.34631085944908491,-1.1211537904995395e-07,0
0.0091432216336545351,0.045445566966167111,0.083517515916462545,0.34390866855869517,-8.9136453155925809e-08,0
0.0090714625089493173,0.045091026061526769,0.082212390082768469,0.34150647765180964,6.7376210168355119e-08,0
0.0089534350250077086,0.04450667290003104,0.080087696756914933,0.3391042867213967,-1.9151016763323039e-08,0
0.008821506477096468,0.043852854764462879,0.077745608124261456,0.33670209578831711,-7.1723258088983939e-09,0
0.0086517075413462922,0.043010743123802195,0.074782200027410706,0.33429990485521793,6.7395993153953308e-09,0
0.0084659787903690852,0.0420893287585394,0.071606638989207605,0.33189771392196593,-9.0189122389131334e-10,0
0.0082423165467937886,0.040979172598405431,0.067873821315158775,0.32949552298870255,-1.3729875734090863e-09,0
0.0080015082318879507,0.03978363216125981,0.063966472913884229,0.32709333205543689,5.9959043005718832e-10,0
0.0077187547786425918,0.038379392315115723,0.059526279812144089,0.32469114112216979,2.3539867292326699e-10,0
0.0074156355601884185,0.036873728616427591,0.054943593761520096,0.3222889501889028,-1.9495537425707832e-10,0
0.007062323239772377,0.035118313988595308,0.049833631174505559,0.3198867592556357,-3.8611815785138134e-11,0
0.0066813096609078379,0.033224972287858555,0.04460242054206396,0.31748456832236849,5.7140143123090945e-11,0
0.0062346701829845991,0.031005092978897416,0.0388393543958169,0.31508237738910139,7.9344288999096349e-12,0
0.0057456610339190872,0.028574303138028306,0.032986565357502655,0.31268018645583417,-1.6656667259977321e-11,0
0.0051585871199852648,0.025655594035952339,0.026591079771301766,0.31027799552256707,-2.6227105286984943e-12,0
0.0044895321048583105,0.022328914576769016,0.020142005519772646,0.30787580458929992,4.8931360163544751e-12,0
0.0036254793000315634,0.018032118464520318,0.013136659532115475,0.30547361365603276,1.1747515819847637e-12,0
0.0024735441077446533,0.012303122220426243,0.0061173265880834901,0.3030714227227656,-1.4018180295302601e-12,0
0.0012158833334002014,0.0060478569184751639,0.001471083707327302,0.30066923178949845,-5.4526077251034154e-13,0
0.0030076422913340958,0.014960609063356738,0.0090319397656559199,0.29826704085623129,3.6500606457187996e-13,0
0.0041466492466676677,0.020626875512965943,0.017173557215136068,0.29586484992296413,2.409471128055464e-13,0
0.0050271229909759196,0.025007384832744194,0.025243731952975117,0.29346265898969698,-6.8128067524471683e-14,0
0.0058254390487905193,0.028979415085211142,0.033899918689683395,0.29106046805642982,-9.5806038322052065e-14,0
0.0065181095761699757,0.032426073411628085,0.042442447372684704,0.28865827712316267,-2.3229990356836808e-15,0
0.007185037658477892,0.035744816360254027,0.051573464677869607,0.28625608618989551,3.2236723441565434e-14,0
0.0077847889565569777,0.038729487257585328,0.06054377562659996,0.28385389525662841,9.8981251855818179e-15,0
0.0083768023050536863,0.041675768574069821,0.070103259672399762,0.28145170432336131,-8.275368908268218e-15,0
0.0089177078110831819,0.04436787239709547,0.079449733033735814,0.27904951339009409,-5.987218299415547e-15,0
0.0094588446887794945,0.047061204379387933,0.089385187594123519,0.27664732245682694,8.4556886656648859e-16,0
