X	Y	Z	U	V	W	K	Epsilon
0	0.08128	0	0.520864453	1.56E-08	0	0.000692174	0.000198325
0	0.08192	0	0.520718857	1.09E-08	0	0.000694975	0.000200296
0	0.08256	0	0.520522115	9.02E-09	0	0.00069874	0.000202976
0	0.0832	0	0.520317349	7.65E-09	0	0.000702655	0.000205766
0	0.08384	0	0.520112584	6.27E-09	0	0.000706571	0.000208557
0	0.08448	0	0.519866246	5.31E-09	0	0.000711254	0.000211935
0	0.08512	0	0.519601428	4.55E-09	0	0.000716277	0.000215575
0	0.08576	0	0.51933661	3.78E-09	0	0.0007213	0.000219215
0	0.0864	0	0.519038964	2.74E-09	0	0.000726913	0.000223331
0	0.08704	0	0.518713177	1.47E-09	0	0.000733031	0.000227855
0	0.08768	0	0.51838739	2.07E-10	0	0.000739148	0.000232379
0	0.08832	0	0.518036421	2.77E-10	0	0.000745703	0.000237279
0	0.08896	0	0.517648797	2.29E-09	0	0.000752893	0.000242725
0	0.0896	0	0.517261174	4.31E-09	0	0.000760084	0.000248172
0	0.09024	0	0.516854614	6.35E-09	0	0.000767589	0.00025391
0	0.09088	0	0.516404482	8.45E-09	0	0.000775821	0.000260319
0	0.09152	0	0.515954349	1.05E-08	0	0.000784053	0.000266729
0	0.09216	0	0.515489755	1.19E-08	0	0.000792514	0.000273368
0	0.0928	0	0.514976642	1.05E-08	0	0.000801746	0.000280782
0	0.09344	0	0.514463529	9.15E-09	0	0.000810978	0.000288195
0	0.09408	0	0.51393832	7.63E-09	0	0.000820392	0.000295808
0	0.09472	0	0.513361951	5.43E-09	0	0.000830574	0.000304267
0	0.09536	0	0.512785582	3.23E-09	0	0.000840757	0.000312726
0	0.096	0	0.51219709	1.70E-09	0	0.00085111	0.000321394
0	0.09664	0	0.511557421	2.99E-09	0	0.000862185	0.000330941
0	0.09728	0	0.510917751	4.28E-09	0	0.00087326	0.000340488
0	0.09792	0	0.510263295	5.78E-09	0	0.00088453	0.0003503
0	0.09856	0	0.509560424	7.97E-09	0	0.000896435	0.000360979
0	0.0992	0	0.508857553	1.02E-08	0	0.000908341	0.000371659
0	0.09984	0	0.508134405	1.22E-08	0	0.000920493	0.000382718
0	0.10048	0	0.507368549	1.39E-08	0	0.000933163	0.000394577
0	0.10112	0	0.506602693	1.55E-08	0	0.000945833	0.000406435
0	0.10176	0	0.505808071	1.72E-08	0	0.000958824	0.000418858
0	0.1024	0	0.50497947	1.89E-08	0	0.000972193	0.000431947
0	0.10304	0	0.504150869	2.06E-08	0	0.000985561	0.000445036
0	0.10368	0	0.503281841	2.13E-08	0	0.00099934	0.000458957
0	0.10432	0	0.502390699	2.13E-08	0	0.001013342	0.000473334
0	0.10496	0	0.501499557	2.14E-08	0	0.001027345	0.000487711
0	0.1056	0	0.500552957	1.93E-08	0	0.001041855	0.000503289
0	0.10624	0	0.499599389	1.70E-08	0	0.001056429	0.000519019
0	0.10688	0	0.49863416	1.48E-08	0	0.001071099	0.000535015
0	0.10752	0	0.497618134	1.27E-08	0	0.001086186	0.000552172
0	0.10816	0	0.496602109	1.07E-08	0	0.001101273	0.000569328
0	0.1088	0	0.495552036	1.10E-08	0	0.00111661	0.000587308
0	0.10944	0	0.494473363	1.33E-08	0	0.001132157	0.000605977
0	0.11008	0	0.493394689	1.56E-08	0	0.001147704	0.000624647
0	0.11072	0	0.492255464	1.96E-08	0	0.001163646	0.000644865
0	0.11136	0	0.491113748	2.36E-08	0	0.001179605	0.000665146
0	0.112	0	0.489944054	2.77E-08	0	0.001195724	0.000686185
0	0.11264	0	0.488738664	3.22E-08	0	0.00121205	0.000708189
0	0.11328	0	0.487533274	3.66E-08	0	0.001228376	0.000730194
0	0.11392	0	0.486264556	3.60E-08	0	0.001245024	0.000754017
0	0.11456	0	0.484994643	3.53E-08	0	0.001261679	0.000777874
0	0.1152	0	0.483686158	3.25E-08	0	0.001278507	0.000802906
0	0.11584	0	0.482350628	2.83E-08	0	0.001295457	0.000828761
0	0.11648	0	0.480997732	2.56E-08	0	0.001312475	0.000855177
0	0.11712	0	0.479595224	2.71E-08	0	0.001329689	0.000883195
0	0.11776	0	0.478192717	2.86E-08	0	0.001346904	0.000911213
0	0.1184	0	0.476721881	3.11E-08	0	0.001364357	0.000941572
0	0.11904	0	0.475250804	3.37E-08	0	0.001381811	0.000971939
0	0.11968	0	0.473723398	3.50E-08	0	0.001399438	0.001004351
0	0.12032	0	0.472181892	3.60E-08	0	0.001417108	0.001037276
0	0.12096	0	0.470591833	3.61E-08	0	0.00143491	0.001072069
0	0.1216	0	0.468977798	3.56E-08	0	0.001452778	0.001107786
0	0.12224	0	0.467318432	3.38E-08	0	0.001470755	0.001145351
0	0.12288	0	0.465629519	3.11E-08	0	0.001488803	0.001184122
0	0.12352	0	0.463893525	2.85E-08	0	0.001506951	0.001224925
0	0.12416	0	0.462127111	2.60E-08	0	0.001525165	0.001267042
0	0.1248	0	0.460306411	2.35E-08	0	0.001543483	0.001311639
0	0.12544	0	0.45845961	2.09E-08	0	0.00156185	0.001357428
0	0.12608	0	0.456545295	1.85E-08	0	0.001580333	0.00140648
0	0.12672	0	0.454614458	1.61E-08	0	0.001598844	0.001456332
0	0.12736	0	0.45259722	1.54E-08	0	0.001617488	0.001510598
0	0.128	0	0.450555762	1.48E-08	0	0.001636165	0.001566171
0	0.12864	0	0.448447909	1.45E-08	0	0.001654934	0.001625328
0	0.12928	0	0.446284124	1.31E-08	0	0.001673773	0.001687674
0	0.12992	0	0.444081698	1.10E-08	0	0.00169266	0.001752223
0	0.13056	0	0.441782704	8.47E-09	0	0.001711656	0.001822586
0	0.1312	0	0.439437653	6.18E-09	0	0.0017307	0.001895868
0	0.13184	0	0.437033041	4.26E-09	0	0.001749805	0.001972935
0	0.13248	0	0.434527773	2.70E-09	0	0.001769003	0.00205675
0	0.13312	0	0.431958873	1.92E-09	0	0.001788256	0.002145036
0	0.13376	0	0.429318906	1.96E-09	0	0.001807568	0.002238402
0	0.1344	0	0.426573574	2.41E-09	0	0.001826961	0.002339627
0	0.13504	0	0.423729511	1.73E-09	0	0.001846422	0.002448621
0	0.13568	0	0.420791022	1.04E-09	0	0.001865944	0.002565337
0	0.13632	0	0.417747899	1.51E-09	0	0.001885529	0.002690921
0	0.13696	0	0.414588963	4.20E-09	0	0.001905178	0.002826728
0	0.1376	0	0.411302001	8.21E-09	0	0.001924892	0.002974357
0	0.13824	0	0.407865456	1.17E-08	0	0.001944671	0.00313653
0	0.13888	0	0.404276676	1.38E-08	0	0.001964509	0.003314308
0	0.13952	0	0.400523393	1.43E-08	0	0.001984403	0.003509819
